Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	15.3	305.0	1.3E+8	6.5E+11	14	107.5	90.5	3.9	0.7	
X	0.15	22.4	507.0	2.2E+8	1.1E+12	23	105.0	113.3	1.9	1.3	
X	0.20	23.1	560.0	2.4E+8	1.2E+12	14	77.5	40.6	4.3	0.9	
X	0.30	5.7	63.0	2.7E+7	1.4E+11	37	180.0	198.4	1.7	29.1	
X	0.40	6.0	63.0	2.7E+7	1.4E+11	41	173.8	114.8	1.4	26.7	
X	0.50	10.0	112.0	4.8E+7	2.4E+11	30	127.5	69.2	2.0	19.7	
X	0.60	9.0	70.0	3.0E+7	1.5E+11	19	125.0	91.3	2.1	15.9	
X	0.70	7.6	62.0	2.7E+7	1.3E+11	36	142.5	170.3	1.5	9.7	
X	0.80	8.6	77.0	3.3E+7	1.7E+11	30	137.5	80.0	1.8	4.3	
X	0.85	10.0	76.0	3.3E+7	1.6E+11	20	192.5	120.6	1.6	2.4	
X	0.90	13.1	129.0	5.5E+7	2.8E+11	14	82.5	63.4	1.8	1.1	
	Mean	11.9	184.0	7.9E+7	3.9E+11	25.3	131.9	104.8	2.2	10.2	
	St.Dev.	6.1	186.8	8.0E+7	4.0E+11	10.0	38.3	46.5	1.0	10.9	
	Rel.St.Dev.	51.0	101.5	1.0E+2	1.0E+2	39.5	29.0	44.3	45.3	107.0	
