Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	15.9	366.0	1.6E+8	7.9E+11	28	110.0	83.3	1.8	5.7	
X	0.15	22.6	512.0	2.2E+8	1.1E+12	15	183.8	203.8	1.2	2.3	
X	0.20	23.1	561.0	2.4E+8	1.2E+12	15	115.0	117.8	5.5	2.5	
	0.30	5.5	62.0	2.7E+7	1.3E+11	27	155.0	135.4	1.2	31.9	MAX_DRIFT
	0.40	6.2	72.0	3.1E+7	1.5E+11	43	161.7	111.8	1.3	30.3	MAX_DRIFT
X	0.50	10.6	214.0	9.2E+7	4.6E+11	85	150.6	128.2	1.2	24.4	
X	0.60	11.2	325.0	1.4E+8	7.0E+11	92	142.5	79.5	1.6	16.5	
X	0.70	7.7	70.0	3.0E+7	1.5E+11	31	185.0	113.5	1.1	9.1	
X	0.80	8.9	82.0	3.5E+7	1.8E+11	33	170.0	172.4	1.4	3.3	
X	0.85	11.1	185.0	7.9E+7	4.0E+11	74	157.5	109.9	1.2	0.8	
X	0.90	12.8	164.0	7.0E+7	3.5E+11	36	134.2	95.6	1.2	0.8	
	Mean	13.8	275.4	1.2E+8	5.9E+11	45.4	149.8	122.7	1.8	7.3	
	St.Dev.	5.6	177.5	7.6E+7	3.8E+11	29.9	27.3	41.1	1.4	8.2	
	Rel.St.Dev.	41.0	64.5	6.4E+1	6.4E+1	65.8	18.2	33.5	78.1	112.2	
