Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	6.4	67.0	2.9E+7	2.9E+10	43	156.2	149.9	1.3	27.5	
	0.15	4.6	54.0	2.3E+7	2.3E+10	35	190.0	158.8	1.1	33.3	MAX_DRIFT
	0.20	4.2	61.0	2.6E+7	2.6E+10	36	177.5	100.9	1.2	37.1	MAX_DRIFT
	0.30	5.0	67.0	2.9E+7	2.9E+10	35	175.0	199.1	1.0	37.3	MAX_DRIFT
	0.40	4.5	70.0	3.0E+7	3.0E+10	3	50.0	44.1	0.7	30.9	MIN_TRACES
X	0.50	5.1	71.0	3.0E+7	3.0E+10	45	155.0	158.9	0.9	20.8	
X	0.60	5.4	64.0	2.7E+7	2.7E+10	41	195.0	169.0	1.0	10.5	
	0.70	7.1	87.0	3.7E+7	3.7E+10	3	130.0	137.9	0.7	3.4	MIN_TRACES
X	0.80	7.5	73.0	3.1E+7	3.1E+10	40	127.5	155.7	0.9	6.0	
	0.85	6.2	42.0	1.8E+7	1.8E+10	19	148.8	107.8	1.1	4.8	GRUBBS_SIZE
X	0.90	5.8	47.0	2.0E+7	2.0E+10	23	135.0	158.8	0.5	4.6	
	Mean	6.0	64.4	2.8E+7	2.8E+10	38.4	153.8	158.5	0.9	13.9	
	St.Dev.	0.9	10.3	4.4E+6	4.4E+9	8.8	26.2	6.9	0.3	9.9	
	Rel.St.Dev.	15.7	16.0	1.6E+1	1.6E+1	23.0	17.1	4.4	30.4	71.5	
