Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	6.6	85.0	3.6E+7	3.6E+10	59	161.2	152.6	1.2	27.3	
	0.15	4.9	81.0	3.5E+7	3.5E+10	64	187.5	154.4	0.9	33.1	MAX_DRIFT
	0.20	4.2	86.0	3.7E+7	3.7E+10	61	198.0	163.7	0.9	36.0	MAX_DRIFT
	0.30	5.1	77.0	3.3E+7	3.3E+10	13	105.0	103.7	0.7	36.2	MAX_DRIFT
	0.40	4.7	92.0	3.9E+7	3.9E+10	56	162.5	158.5	1.3	30.5	MAX_DRIFT
X	0.50	5.0	80.0	3.4E+7	3.4E+10	51	183.8	185.4	1.0	21.1	
X	0.60	5.6	78.0	3.3E+7	3.3E+10	50	187.5	164.8	1.0	11.3	
X	0.70	6.9	91.0	3.9E+7	3.9E+10	51	180.0	169.4	1.2	2.7	
X	0.80	7.3	86.0	3.7E+7	3.7E+10	50	164.2	161.0	1.4	3.6	
	0.85	6.7	77.0	3.3E+7	3.3E+10	35	185.0	82.6	1.1	4.2	GRUBBS_SIZE
X	0.90	6.2	79.0	3.4E+7	3.4E+10	56	197.5	175.8	0.9	4.9	
	Mean	6.3	83.2	3.6E+7	3.6E+10	52.8	179.0	168.2	1.1	11.8	
	St.Dev.	0.8	5.0	2.2E+6	2.2E+9	3.8	14.0	11.5	0.2	10.3	
	Rel.St.Dev.	13.3	6.1	6.1E+0	6.1E+0	7.1	7.8	6.8	14.5	86.7	
