Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	2.6	21.0	9.0E+6	9.0E+9	10	172.5	130.6	2.0	34.3	MAX_DRIFT
	0.15	2.6	29.0	1.2E+7	1.2E+10	15	135.0	108.9	1.3	37.2	MAX_DRIFT
	0.20	2.9	33.0	1.4E+7	1.4E+10	22	122.5	107.2	1.8	38.9	MAX_DRIFT
	0.30	2.5	28.0	1.2E+7	1.2E+10	16	97.5	70.7	2.1	38.0	MAX_DRIFT
X	0.40	2.7	29.0	1.2E+7	1.2E+10	20	132.5	137.6	1.3	29.0	
X	0.50	2.6	33.0	1.4E+7	1.4E+10	23	158.8	162.9	2.1	18.5	
X	0.60	3.2	49.0	2.1E+7	2.1E+10	31	120.0	102.6	1.5	6.9	
X	0.70	3.2	33.0	1.4E+7	1.4E+10	21	120.0	102.4	1.7	0.6	
X	0.80	3.0	28.0	1.2E+7	1.2E+10	18	162.5	93.2	2.2	7.6	
	0.85	2.7	7.0	3.0E+6	3.0E+9	4	152.5	160.0	1.2	6.6	MIN_TRACES
X	0.90	3.6	12.0	5.1E+6	5.1E+9	8	152.5	105.5	0.7	7.0	
	Mean	3.0	30.7	1.3E+7	1.3E+10	20.2	141.0	117.4	1.6	11.6	
	St.Dev.	0.4	11.9	5.1E+6	5.1E+9	7.5	19.3	27.0	0.5	10.3	
	Rel.St.Dev.	11.7	38.7	3.9E+1	3.9E+1	37.0	13.7	23.0	34.3	88.9	
