Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	3.9	13.0	5.6E+6	5.6E+9	9	181.2	157.9	0.6	27.6	
	0.15	3.1	13.0	5.6E+6	5.6E+9	9	120.0	113.5	2.4	33.0	MAX_DRIFT
	0.20	3.0	18.0	7.7E+6	7.7E+9	11	131.2	176.3	1.1	34.1	MAX_DRIFT
	0.30	4.4	17.0	7.3E+6	7.3E+9	11	111.2	118.1	1.9	33.4	MAX_DRIFT
X	0.40	2.6	19.0	8.2E+6	8.2E+9	11	125.0	127.6	0.8	29.3	
	0.50	3.7	18.0	7.7E+6	7.7E+9	14	135.0	63.3	1.1	20.0	GRUBBS_SIZE
X	0.60	3.2	18.0	7.7E+6	7.7E+9	17	125.0	138.2	1.3	11.0	
X	0.70	3.7	19.0	8.2E+6	8.2E+9	16	135.0	135.6	1.8	5.2	
X	0.80	5.5	12.0	5.1E+6	5.1E+9	7	105.0	112.6	0.6	0.8	
X	0.85	5.2	14.0	6.0E+6	6.0E+9	8	107.5	108.2	1.3	1.2	
X	0.90	5.8	24.0	1.0E+7	1.0E+10	10	132.5	135.0	3.0	1.3	
	Mean	4.3	17.0	7.3E+6	7.3E+9	11.1	130.2	130.7	1.3	10.9	
	St.Dev.	1.2	4.2	1.8E+6	1.8E+9	3.9	25.3	16.7	0.9	12.5	
	Rel.St.Dev.	28.7	25.0	2.5E+1	2.5E+1	34.9	19.4	12.8	64.1	114.7	
