Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	4.2	33.0	1.4E+7	1.4E+10	21	170.0	193.8	1.2	26.4	GRUBBS_SIZE
X	0.15	3.3	33.0	1.4E+7	1.4E+10	22	142.5	139.4	1.2	30.0	
	0.20	3.2	34.0	1.5E+7	1.5E+10	25	126.2	91.1	2.2	32.4	MAX_DRIFT
	0.30	4.9	44.0	1.9E+7	1.9E+10	23	180.0	132.9	1.8	30.1	MAX_DRIFT
X	0.40	2.8	36.0	1.5E+7	1.5E+10	24	147.5	104.5	1.7	23.5	
X	0.50	3.8	32.0	1.4E+7	1.4E+10	20	167.5	75.4	1.5	15.6	
X	0.60	3.5	35.0	1.5E+7	1.5E+10	26	137.5	104.1	1.6	6.5	
X	0.70	4.1	31.0	1.3E+7	1.3E+10	16	157.5	127.8	1.2	0.2	
X	0.80	6.0	38.0	1.6E+7	1.6E+10	20	147.5	104.7	1.2	1.9	
X	0.85	5.6	32.0	1.4E+7	1.4E+10	17	118.8	118.8	2.3	4.5	
	0.90	5.8	52.0	2.2E+7	2.2E+10	24	157.5	71.3	1.7	2.7	GRUBBS_NUMBER
	Mean	4.2	33.9	1.5E+7	1.5E+10	20.7	145.5	110.7	1.5	11.7	
	St.Dev.	1.2	2.5	1.1E+6	1.1E+9	3.6	15.4	20.6	0.4	11.5	
	Rel.St.Dev.	28.4	7.5	7.5E+0	7.5E+0	17.3	10.6	18.6	25.5	98.2	
