Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	2.5	0.0	0.0E+0	0.0E+0	0	5997.5	0.0	0.0	0.0	MIN_TRACES
	0.15	3.6	2.0	8.6E+5	8.6E+8	0	5997.5	0.0	0.0	0.0	MIN_TRACES
	0.20	3.9	3.0	1.3E+6	1.3E+9	1	100.0	103.4	0.0	24.0	MIN_TRACES
	0.30	0.6	7.0	3.0E+6	3.0E+9	5	155.0	159.8	1.2	28.5	RANGE_NUMBER
	0.40	0.9	5.0	2.1E+6	2.1E+9	5	220.0	93.4	3.2	29.3	RANGE_NUMBER
	0.50	1.5	8.0	3.4E+6	3.4E+9	5	145.0	144.8	0.9	25.4	RANGE_NUMBER
	0.60	1.4	14.0	6.0E+6	6.0E+9	9	225.0	88.4	1.0	20.5	GRUBBS_NUMBER
	0.70	1.0	6.0	2.6E+6	2.6E+9	3	190.0	193.4	0.7	17.7	MIN_TRACES
	0.80	1.2	3.0	1.3E+6	1.3E+9	2	122.5	198.4	0.6	12.0	MIN_TRACES
	0.85	1.5	2.0	8.6E+5	8.6E+8	1	375.0	378.4	0.0	7.6	MIN_TRACES
	0.90	1.9	1.0	4.3E+5	4.3E+8	0	5997.5	0.0	0.0	0.0	MIN_TRACES
	Mean	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
	St.Dev.	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
	Rel.St.Dev.	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
